task,count,pct,ai_autonomy_mean,ai_autonomy_median,ai_education_years_mean,human_education_years_mean,human_only_time_mean,human_with_ai_time_mean
"answer customers' questions about products, prices, availability, product uses, and credit terms.",1780.0000,0.1780,3.2348,3.0000,8.2961,7.5798,0.7557,5.8805
"answer customers' questions, and explain available services such as deposit accounts, bonds, and securities.",67.0000,0.0067,2.9701,3.0000,9.8358,9.6418,0.5803,5.3657
"answer customers' questions, and provide information on procedures or policies.",11683.0000,1.1683,3.0871,3.0000,8.1580,7.5547,0.3490,3.4324
"answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.",30.0000,0.0030,2.7667,3.0000,1.0000,0.8333,0.0607,0.7283
"answer inquiries from current or prospective customers regarding methods, materials, or price ranges.",686.0000,0.0686,3.1122,3.0000,7.3892,6.7405,0.2548,2.0876
"answer inquiries from the general public regarding judicial procedures, court appearances, trial dates, adjournments, outstanding warrants, summonses, subpoenas, witness fees, or payment of fines.",59.0000,0.0059,2.8814,3.0000,11.2373,10.7627,0.7941,7.6729
answer inquiries from the public concerning animal control operations.,331.0000,0.0331,2.9970,3.0000,6.8308,6.1692,0.1611,1.5003
"answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",65.0000,0.0065,3.0154,3.0000,9.7692,9.4462,0.6575,6.7154
"answer inquiries pertaining to hotel services, guest registration, and travel directions, or make recommendations regarding shopping, dining, or entertainment.",185.0000,0.0185,3.1459,3.0000,8.9459,8.9892,1.2205,8.2865
"answer inquiries regarding information such as schedules, accommodations, procedures, and policies.",2752.0000,0.2752,2.9971,3.0000,7.8924,7.2053,0.3085,2.2603
"answer passengers' questions about flights, aircraft, weather, travel routes and services, arrival times, or schedules.",52.0000,0.0052,2.9808,3.0000,8.7885,8.4038,0.5937,4.4279
answer questions about game rules and casino policies.,32.0000,0.0032,3.5625,4.0000,9.5312,8.7188,1.0328,6.6250
answer questions about game rules or casino policies.,23.0000,0.0023,3.5217,4.0000,9.7391,8.9565,1.2957,7.6522
answer questions about product features and benefits.,1224.0000,0.1224,3.3513,4.0000,8.7933,8.0572,0.9031,5.7759
answer questions about records or files.,207.0000,0.0207,2.8502,3.0000,8.3575,8.1691,0.3580,3.0616
answer questions and provide future tax planning to clients.,33.0000,0.0033,2.8485,3.0000,12.7576,12.4545,2.4288,15.3030
"answer questions from passengers concerning train rules, stations, and timetable information.",45.0000,0.0045,2.9333,3.0000,8.0889,8.2000,0.6498,5.3778
answer questions from taxpayers and assist them in completing tax forms.,64.0000,0.0064,2.8906,3.0000,11.7344,11.0000,1.0820,9.5234
answer questions from the public and media.,68.0000,0.0068,3.3529,4.0000,11.2206,11.0000,1.1222,8.9412
"answer questions or provide advice to the public regarding licensing policies, procedures, or regulations.",114.0000,0.0114,2.9561,3.0000,9.5614,9.2456,0.9659,6.9868
"answer questions regarding examinations, eligibility, salaries, benefits, and other pertinent information.",197.0000,0.0197,2.8528,3.0000,11.1980,11.1777,0.9275,7.7538
"answer questions regarding mail regulations and procedures, postage rates, and post office boxes.",33.0000,0.0033,3.1515,3.0000,8.0606,7.9091,0.4755,6.1667
answer questions regarding the store and its merchandise.,467.0000,0.0467,2.8672,3.0000,8.0471,7.5460,0.2805,2.2147
"answer routine telephone or in-person reference inquiries, referring patrons to librarians for further assistance, when necessary.",23.0000,0.0023,2.6957,3.0000,9.0000,9.9130,0.5096,4.0000
answer telephone calls and respond to inquiries or transfer calls.,16.0000,0.0016,3.1250,4.0000,5.3750,3.8750,0.0637,0.9031
"answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals.",348.0000,0.0348,2.8305,3.0000,4.3420,3.9569,0.0970,1.1855
answer telephones to provide information and receive orders.,44.0000,0.0044,2.7273,3.0000,7.3864,6.4318,0.1618,1.2386
"answer telephones, direct calls, and take messages.",109.0000,0.0109,3.0183,3.0000,3.9266,3.5046,0.1619,1.6665
"answer telephones, responding to questions or requests.",199.0000,0.0199,2.9347,3.0000,5.6231,5.1809,0.1140,1.2975
answer user inquiries regarding computer software or hardware operation to resolve problems.,365.0000,0.0365,3.0603,3.0000,8.7890,8.4712,0.5404,6.1288
apply customer feedback to service improvement efforts.,28.0000,0.0028,3.3571,3.5000,10.2500,11.0357,1.2643,10.1429
"apply elements of music theory to create musical and tonal structures, including harmonies and melodies.",42.0000,0.0042,3.5000,4.0000,10.0476,7.5952,1.4567,12.9762
apply finger and hand pressure to specific points of the body.,20.0000,0.0020,3.7500,4.0000,9.9000,8.9000,3.1700,15.7500
"apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation.",116.0000,0.0116,3.2069,3.5000,14.7069,15.0690,3.9010,15.6552
"apply nanotechnology to improve the performance or reduce the environmental impact of energy products, such as fuel cells or solar cells.",17.0000,0.0017,3.7647,4.0000,16.0000,16.2353,3.9118,20.0000
"apply relevant laws, regulations, policies, or precedents to reach conclusions.",44.0000,0.0044,3.4318,4.0000,16.0909,15.2500,3.9159,20.1364
apply selected research findings to practice.,22.0000,0.0022,3.5455,4.0000,13.2273,12.7727,2.4114,9.9773
"apply standardized mathematical formulas, principles, and methodology to the solution of technological problems involving engineering or physical science.",23.0000,0.0023,3.1304,3.0000,13.6522,13.9130,1.5957,14.9130
"apply story development, directing, cinematography, and editing to animation to create storyboards that show the flow of the animation and map out key scenes and characters.",34.0000,0.0034,3.3824,4.0000,10.6765,10.5882,4.0374,17.0000
"appoint individuals to faculty positions, and evaluate their performance.",21.0000,0.0021,3.1429,3.0000,16.0000,16.8571,3.0000,14.5952
"appraise property values, assessing income potential when relevant.",230.0000,0.0230,3.4783,4.0000,13.1391,12.5348,3.6374,13.5870
"appraise, evaluate, and inventory real property and equipment, recording information such as the description, value, and location of property.",67.0000,0.0067,3.5224,4.0000,11.4627,10.2537,2.6990,12.9328
"arrange and conduct sports-related activities, such as training camps, skill-improvement courses, clinics, and pre-season try-outs.",20.0000,0.0020,3.6000,4.0000,9.1000,8.7000,2.0825,13.1500
"arrange and mount typeset material and illustrations into paste-ups for printing reproduction, based on artists' or editors' layouts.",21.0000,0.0021,2.9524,3.0000,11.6667,11.7619,5.1190,22.3810
"arrange conference, meeting, or travel reservations for office personnel.",141.0000,0.0141,3.3759,4.0000,9.0426,9.1773,2.4718,12.5709
"arrange financing of deals from sources such as financial institutions, agencies, or public or private companies.",78.0000,0.0078,3.3846,4.0000,15.6667,16.0897,4.6090,14.1923
arrange for advertising or posting of job vacancies and notify eligible workers of position availability.,341.0000,0.0341,3.2434,3.0000,12.1408,12.4604,2.0231,12.9736
"arrange for debt repayment or establish repayment schedules, based on customers' financial situations.",37.0000,0.0037,3.0270,3.0000,14.5135,14.1622,2.8689,19.0811
"arrange for tour or expedition details such as accommodations, transportation, equipment, and the availability of medical personnel.",30.0000,0.0030,3.7000,4.0000,10.2333,10.1667,4.3667,21.1333
arrange interviews with people who can provide information about a story.,22.0000,0.0022,3.4545,4.0000,13.1818,13.6364,1.9659,13.4545
arrange merchandise and sales promotion displays or issue sales promotion materials to customers.,22.0000,0.0022,3.6364,4.0000,9.5455,9.2727,1.2682,10.3409
"arrange music composed by others, changing the music to achieve desired effects.",49.0000,0.0049,3.4898,4.0000,10.3673,8.9388,3.1800,21.1531
"arrange tours, taxis, or restaurant reservations for customers.",103.0000,0.0103,3.4175,4.0000,9.1748,9.0000,1.8427,8.8350
"ask questions in accordance with instructions to obtain various specified information, such as person's name, address, age, religious preference, or state of residency.",79.0000,0.0079,2.9873,3.0000,7.3924,7.7342,0.2316,2.3734
ask questions that will help clients identify their feelings and behaviors.,208.0000,0.0208,3.9375,4.0000,10.9856,10.2163,1.6371,26.8928
"assemble and compile documents for loan closings, such as title abstracts, insurance forms, loan forms, and tax receipts.",40.0000,0.0040,3.1000,3.0000,13.8500,13.8750,1.9365,12.1250
assemble documentation packages and produce drawing sets which are checked by an engineer or an architect.,48.0000,0.0048,3.2917,4.0000,13.7500,13.4583,5.0219,13.0312
"assess clients' overall financial situation by reviewing income, assets, debts, expenses, credit reports, or other financial information.",45.0000,0.0045,3.3333,3.0000,12.5333,12.6000,2.3780,15.0333
"assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops.",41.0000,0.0041,3.4878,4.0000,13.5122,13.7317,4.9159,22.1463
"assess current or future customer needs and priorities through communicating directly with customers, conducting surveys, or other methods.",34.0000,0.0034,3.2647,3.0000,10.7647,11.9412,1.3018,7.3824
assess existing facilities' needs for new or modified telecommunications systems.,36.0000,0.0036,3.6111,4.0000,11.5000,11.2500,3.0083,13.1250
assess nature and extent of illness or injury to establish and prioritize medical procedures.,15.0000,0.0015,3.6667,4.0000,10.0667,7.8000,0.7633,10.4000
"assess nutritional needs, diet restrictions and current health plans to develop and implement dietary-care plans and provide nutritional counseling.",523.0000,0.0523,3.5966,4.0000,11.0057,9.7247,3.4274,24.9981
"assess or propose sustainability initiatives, considering factors such as cost effectiveness, technical feasibility, and acceptance.",16.0000,0.0016,3.2500,3.0000,11.1875,13.0000,2.6219,11.0000
assess patients for risk of suicide attempts.,45.0000,0.0045,3.7556,4.0000,11.4667,11.0889,3.5422,35.3778
assess patients' general physical appearance to make diagnoses.,47.0000,0.0047,3.8298,4.0000,9.8298,8.0426,0.4272,6.3830
assess patients' mental and physical status based on the presenting symptoms and complaints.,49.0000,0.0049,3.7551,4.0000,10.7959,9.1837,1.0041,13.4184
assess patients' response to treatments and modify treatments according to protocol if necessary.,15.0000,0.0015,3.2667,4.0000,12.4667,11.0000,1.7033,25.5333
"assess performance following athletic competition, identifying strengths and weaknesses and making adjustments to improve future performance.",54.0000,0.0054,3.3889,4.0000,10.1296,9.5185,2.0657,19.8981
"assess project feasibility by analyzing technology, resource needs, and market demand.",109.0000,0.0109,3.8532,4.0000,13.6055,13.1193,7.0061,16.7110
assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.,182.0000,0.0182,3.4615,4.0000,14.9615,14.6374,4.4387,20.8434
"assess staffing needs and recruit staff, using methods such as newspaper advertisements or attendance at job fairs.",35.0000,0.0035,3.4857,4.0000,12.9143,13.2571,4.5843,12.1000
assess students' dancing abilities to determine where improvement or change is needed.,21.0000,0.0021,3.8095,4.0000,9.1905,8.4762,0.9524,11.9286
"assess the identity, strength, or purity of medications.",212.0000,0.0212,3.2689,3.0000,11.0566,9.0991,1.2700,6.7759
assess the nature and level of threats so that the scope of the problem can be determined.,101.0000,0.0101,3.3861,4.0000,13.1980,12.8812,3.0615,13.3317
assess the usefulness of pre-developed application packages and adapt them to a user environment.,3785.0000,0.3785,3.5950,4.0000,12.4040,12.1982,2.2104,10.6799
